system:index,mean_NDVI,month,time,year,.geo
107,-0.27293435873403615,Sep,746841600000,1993,"{""type"":""MultiPoint"",""coordinates"":[]}"
108,-0.23062058185615325,Oct,749433600000,1993,"{""type"":""MultiPoint"",""coordinates"":[]}"
109,-0.3468201171793359,Jan,757382400000,1994,"{""type"":""MultiPoint"",""coordinates"":[]}"
110,-0.4912703134990185,Feb,760060800000,1994,"{""type"":""MultiPoint"",""coordinates"":[]}"
111,-0.10220958087392437,Mar,762480000000,1994,"{""type"":""MultiPoint"",""coordinates"":[]}"
112,-0.15955721151957863,Apr,765158400000,1994,"{""type"":""MultiPoint"",""coordinates"":[]}"
113,-0.2602047775044691,May,767750400000,1994,"{""type"":""MultiPoint"",""coordinates"":[]}"
114,-0.3342273593925223,Jun,770428800000,1994,"{""type"":""MultiPoint"",""coordinates"":[]}"
115,-0.28129664025821033,Jul,773020800000,1994,"{""type"":""MultiPoint"",""coordinates"":[]}"
116,-0.19947370374409962,Aug,775699200000,1994,"{""type"":""MultiPoint"",""coordinates"":[]}"
117,-0.24308179226056054,Sep,778377600000,1994,"{""type"":""MultiPoint"",""coordinates"":[]}"
118,-0.21344427638154678,Oct,780969600000,1994,"{""type"":""MultiPoint"",""coordinates"":[]}"
119,-0.21898326573634816,Nov,783648000000,1994,"{""type"":""MultiPoint"",""coordinates"":[]}"
120,-0.3237899549108353,Dec,786240000000,1994,"{""type"":""MultiPoint"",""coordinates"":[]}"
121,-0.4032691815549025,Jan,788918400000,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
122,-0.25968970909793004,Feb,791596800000,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
123,-0.17418323204935685,Mar,794016000000,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
124,-0.2166959420552463,Apr,796694400000,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
125,-0.32819918952928734,May,799286400000,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
126,-0.34912174622175585,Jun,801964800000,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
127,-0.2927482512926239,Jul,804556800000,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
128,-0.20422108368466377,Aug,807235200000,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
129,-0.20928090057661292,Sep,809913600000,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
130,-0.23177904870466737,Oct,812505600000,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
131,-0.38161222654865373,Nov,815184000000,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
132,-0.3911327247765843,Jan,820454400000,1996,"{""type"":""MultiPoint"",""coordinates"":[]}"
133,-0.4913291157035011,Feb,823132800000,1996,"{""type"":""MultiPoint"",""coordinates"":[]}"
134,-0.08308265940921969,Mar,825638400000,1996,"{""type"":""MultiPoint"",""coordinates"":[]}"
135,-0.05931396341748445,Apr,828316800000,1996,"{""type"":""MultiPoint"",""coordinates"":[]}"
136,-0.294936155823831,May,830908800000,1996,"{""type"":""MultiPoint"",""coordinates"":[]}"
137,-0.32398727802359906,Jun,833587200000,1996,"{""type"":""MultiPoint"",""coordinates"":[]}"
138,-0.32009864347311623,Jul,836179200000,1996,"{""type"":""MultiPoint"",""coordinates"":[]}"
139,-0.24215233810596618,Aug,838857600000,1996,"{""type"":""MultiPoint"",""coordinates"":[]}"
140,-0.194905414602037,Sep,841536000000,1996,"{""type"":""MultiPoint"",""coordinates"":[]}"
141,-0.18198182778977934,Oct,844128000000,1996,"{""type"":""MultiPoint"",""coordinates"":[]}"
142,-0.44835909186362977,Dec,849398400000,1996,"{""type"":""MultiPoint"",""coordinates"":[]}"
143,-0.28810984059708455,Jan,852076800000,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
144,-0.22584993314673127,Feb,854755200000,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
145,-0.08893374327108484,Mar,857174400000,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
146,-0.16806646930940408,Apr,859852800000,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
147,-0.3236825104412544,May,862444800000,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
148,-0.317089805837761,Jun,865123200000,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
149,-0.31618746206125,Jul,867715200000,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
150,-0.2253663332522291,Aug,870393600000,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
151,-0.2116747648679358,Sep,873072000000,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
152,-0.15023113941432972,Oct,875664000000,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
153,-0.20004736032468917,Nov,878342400000,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
154,-0.2563012034615523,Jan,883612800000,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
155,-0.246710926230966,Feb,886291200000,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
