system:index,intervalType,mean_NDVI,time,year,.geo
142,Dec,-0.44835909186362977,849398400000,1996,"{""type"":""MultiPoint"",""coordinates"":[]}"
143,Jan,-0.28810984059708455,852076800000,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
144,Feb,-0.22584993314673127,854755200000,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
145,Mar,-0.08893374327108484,857174400000,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
146,Apr,-0.16806646930940408,859852800000,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
147,May,-0.3236825104412543,862444800000,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
148,Jun,-0.31708980583776103,865123200000,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
149,Jul,-0.31618746206125,867715200000,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
150,Aug,-0.2253663332522291,870393600000,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
151,Sep,-0.2116747648679358,873072000000,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
152,Oct,-0.15023113941432972,875664000000,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
153,Nov,-0.20004736032468917,878342400000,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
154,Jan,-0.2563012034615523,883612800000,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
155,Feb,-0.246710926230966,886291200000,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
156,Mar,-0.24433810845554224,888710400000,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
157,Apr,-0.24252424264504083,891388800000,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
158,May,-0.31551651117783647,893980800000,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
159,Jun,-0.346176641414919,896659200000,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
160,Jul,-0.2769948774901806,899251200000,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
161,Aug,-0.2149754372874049,901929600000,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
162,Sep,-0.24829749385112815,904608000000,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
163,Nov,-0.27608925460397676,909878400000,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
164,Dec,-0.2448299725565983,912470400000,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
165,Jan,-0.3616684743716312,915148800000,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
166,Feb,-0.3807114852615726,917827200000,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
167,Mar,-0.11532664149096906,920246400000,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
168,Apr,-0.21575167910958676,922924800000,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
169,May,-0.2874323725386953,925516800000,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
170,Jun,-0.3399227578521752,928195200000,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
171,Jul,-0.2965658789190102,930787200000,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
172,Aug,-0.2115092816843639,933465600000,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
173,Sep,-0.20108518174689072,936144000000,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
174,Oct,-0.24767908524368118,938736000000,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
175,Nov,-0.2302742844335065,941414400000,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
176,Dec,-0.6276262765063518,944006400000,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
177,Jan,-0.5381059435795388,946684800000,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
178,May,-0.32206425893232,957139200000,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
179,Jun,-0.3278127957310207,959817600000,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
180,Aug,-0.21475086756705497,965088000000,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
181,Sep,-0.28367406213153396,967766400000,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
182,Nov,-0.2536835004935977,973036800000,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
183,Jan,-0.39931970842510073,978307200000,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
184,Feb,-0.19394873900563406,980985600000,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
185,Apr,-0.22108678095296486,986083200000,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
186,May,-0.334274126655287,988675200000,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
187,Jun,-0.3342096756714205,991353600000,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
188,Jul,-0.3190972477713927,993945600000,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
189,Aug,-0.19176319021720203,996624000000,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
190,Sep,-0.2992034712754756,999302400000,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
191,Nov,-0.2569562826242755,1004572800000,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
