State,mean_ndvi,Temperature,Year
DEBE,0.1501116458945561,10.189876265466816,1992
DEBW,0.1024471216087625,9.102503153468817,1992
DEBY,0.1860233860379978,8.614564846416384,1992
DEHB,0.0381068724324616,10.080267558528428,1992
DEHE,0.1195436518912676,9.226657793411608,1992
DEHH,0.1507161907438074,10.134691195795009,1992
DEMV,0.1526152848362279,9.359974648133578,1992
DENI,0.0927788073347014,9.893512271232185,1992
DENW,0.1288640520601719,9.976657980265276,1992
DERP,0.195777783063147,9.551028930817608,1992
DESH,0.1595248603509142,9.536978995193255,1992
DESL,0.2200874937047417,9.815923076923076,1992
DESN,0.1890721415217869,9.320320709281962,1992
DEST,0.1603191871861552,9.931638747268751,1992
DETH,0.0886540079352057,8.69466871165644,1992
DEBB,0.1726381119575925,8.83709103237837,1993
