State,mean_ndvi,Mean_Sunshine,Year
DETH,0.2191819710571571,173.04360122699387,1989
DEBB,0.2278164521093028,179.90241396846923,1990
DEBE,0.1839618535705235,177.94049493813273,1990
DEBW,0.2406115009608955,178.93418640504555,1990
DEBY,0.2274266358316775,175.62616751990902,1990
DEHB,0.2082600891335088,158.7735785953177,1990
DEHE,0.2585647931850651,159.19586442933877,1990
DEHH,0.2297947932715247,153.74113009198422,1990
DEMV,0.2421184882191202,171.38032170644288,1990
DENI,0.2603919034144815,157.87991060133254,1990
DENW,0.241461431488327,160.0182180189149,1990
DERP,0.2352826305333988,166.89270440251573,1990
DESH,0.2954056572592418,159.11359057088296,1990
DESL,0.2128449779126641,179.6087692307692,1990
DESN,0.2220780150805844,180.51940126970229,1990
DEST,0.2309763794004844,170.48514688031077,1990
DETH,0.2324031445040294,158.19106748466257,1990
DEBB,0.1929199677733761,178.17149686387523,1991
DEBE,0.1392445681918452,182.82890888638923,1991
DEBW,0.1728201043520783,174.26306377014714,1991
DEBY,0.2058568081035656,167.05664675767915,1991
DEHB,0.1827715926754096,160.81170568561873,1991
DEHE,0.2033347312301975,160.7535199885915,1991
DEHH,0.1917315221084894,163.49185282522996,1991
DEMV,0.2422508576784557,174.32713961010575,1991
DENI,0.2386651171977915,160.6484439571561,1991
DENW,0.2211632018390488,158.89434895909585,1991
DERP,0.2131407934795504,168.6279094339623,1991
DESH,0.2299765914470762,166.45750312767498,1991
DESL,0.2518359400644108,182.4172307692308,1991
DESN,0.1908105777666583,172.76817535026268,1991
DEST,0.1902955009547562,173.21259529011897,1991
DETH,0.1842650506208489,164.66347239263803,1991
DEBB,0.1742028259312043,179.20708933717577,1992
DEBE,0.1501116458945561,180.985151856018,1992
DEBW,0.1024471216087625,160.5065059565522,1992
DEBY,0.1860233860379978,157.2903128555176,1992
DEHB,0.0381068724324616,151.08361204013377,1992
DEHE,0.1195436518912676,153.17862337785806,1992
DEHH,0.1507161907438074,164.81222076215508,1992
DEMV,0.1526152848362279,184.3648876650057,1992
DENI,0.0927788073347014,156.41736948637936,1992
DENW,0.1288640520601719,154.04057915849265,1992
DERP,0.195777783063147,153.702893081761,1992
